molecule_chembl_id,canonical_smiles,bioactivity_class,standard_value
CHEMBL254406,COc1cccc(COC(=O)c2cccc(S)n2)c1,inactive,78000.0
CHEMBL398662,O=C(OCc1ccc(C(F)(F)F)cc1)c1cccc(S)n1,inactive,94000.0
CHEMBL254405,O=C(OCc1cccc(C(F)(F)F)c1)c1cccc(S)n1,inactive,134000.0
CHEMBL254404,Cc1ccc(COC(=O)c2cccc(S)n2)cc1,inactive,81000.0
CHEMBL254403,Cc1cccc(COC(=O)c2cccc(S)n2)c1,inactive,70000.0
CHEMBL252523,O=C(OCCCc1ccccc1)c1cccc(S)n1,inactive,85000.0
CHEMBL252522,O=C(OCCc1ccccc1)c1cccc(S)n1,inactive,117000.0
CHEMBL402720,O=C(OCc1ccccc1)c1cccc(S)n1,inactive,82000.0
CHEMBL442286,O=C(OC1CCCCC1)c1cccc(S)n1,inactive,87000.0
CHEMBL252327,O=C(OC1CCC1)c1cccc(S)n1,inactive,150000.0
CHEMBL404205,CC(C)OC(=O)c1cccc(S)n1,inactive,146000.0
CHEMBL252326,CCCCCOC(=O)c1cccc(=O)[nH]1,inactive,68000.0
CHEMBL254821,O=C(Oc1ccco1)c1cccc(=O)[nH]1,inactive,76000.0
CHEMBL398838,O=C(Oc1ccsc1)c1cccc(=O)[nH]1,inactive,62000.0
CHEMBL254039,O=C(Oc1cccs1)c1cccc(=O)[nH]1,inactive,65000.0
CHEMBL254038,O=C(OCc1cccc(Oc2ccccc2)c1)c1cccc(=O)[nH]1,inactive,118000.0
CHEMBL253835,O=C(OCc1cccc(-c2ccccc2)c1)c1cccc(=O)[nH]1,inactive,99000.0
CHEMBL253189,O=C(OCc1ccc2c(c1)OCO2)c1cccc(=O)[nH]1,inactive,105000.0
CHEMBL253188,O=C(Oc1ccc2ccccc2c1)c1cccc(=O)[nH]1,inactive,97000.0
CHEMBL399504,O=C(Oc1cccc2ccccc12)c1cccc(=O)[nH]1,inactive,111000.0
CHEMBL254657,O=C(OC/C=C/c1ccccc1)c1cccc(=O)[nH]1,inactive,70000.0
CHEMBL254448,O=C(OCc1ccc(Br)cc1)c1cccc(=O)[nH]1,inactive,105000.0
CHEMBL254240,O=C(OCc1cccc(Br)c1)c1cccc(=O)[nH]1,inactive,31000.0
CHEMBL254239,O=C(OCc1ccccc1Br)c1cccc(=O)[nH]1,inactive,44000.0
CHEMBL254238,O=C(OCc1ccc(Cl)cc1)c1cccc(=O)[nH]1,inactive,47000.0
CHEMBL253823,O=C(OCc1cccc(Cl)c1)c1cccc(=O)[nH]1,inactive,46000.0
CHEMBL399685,O=C(OCc1ccccc1Cl)c1cccc(=O)[nH]1,inactive,68000.0
CHEMBL253820,O=C(OCc1c(F)c(F)c(F)c(F)c1F)c1cccc(=O)[nH]1,inactive,63000.0
CHEMBL253605,O=C(OCc1c(F)cc(F)cc1F)c1cccc(=O)[nH]1,inactive,31000.0
CHEMBL399684,O=C(OCc1cc(F)cc(F)c1)c1cccc(=O)[nH]1,inactive,20000.0
CHEMBL399304,O=C(OCc1cc(F)ccc1F)c1cccc(=O)[nH]1,inactive,100000.0
CHEMBL253375,O=C(OCc1c(F)cccc1F)c1cccc(=O)[nH]1,inactive,60000.0
CHEMBL253374,O=C(OCc1ccc(F)cc1)c1cccc(=O)[nH]1,inactive,65000.0
CHEMBL398892,O=C(OCc1cccc(F)c1)c1cccc(=O)[nH]1,inactive,16000.0
CHEMBL253373,O=C(OCc1ccccc1F)c1cccc(=O)[nH]1,inactive,68000.0
CHEMBL253372,O=C(OCCCCOc1ccccc1)c1cccc(=O)[nH]1,inactive,82000.0
CHEMBL438519,O=C(OCCOc1ccccc1)c1cccc(=O)[nH]1,inactive,79000.0
CHEMBL253172,COc1ccc(COC(=O)c2cccc(=O)[nH]2)cc1,inactive,105000.0
CHEMBL252965,COc1cccc(COC(=O)c2cccc(=O)[nH]2)c1,inactive,69000.0
CHEMBL1162966,O=C(OCc1ccc(C(F)(F)F)cc1)c1cccc(=O)[nH]1,inactive,64000.0
