action_type,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,,913036,[],CHEMBL719129,Inhibition of human Matrix metalloprotease-12 (MMP-12),B,,,BAO_0000190,BAO_0000357,single protein format,C[C@@H](C[C@@H](COC(=O)CCC(=O)O)NC(=O)c1ccc(Oc2ccccc2)cc1)C(=O)NO,,,CHEMBL1145989,J Med Chem,2003,"{'bei': '18.73', 'le': '0.36', 'lle': '6.07', 'sei': '5.68'}",CHEMBL118497,,CHEMBL118497,8.59,0,http://www.openphacts.org/units/Nanomolar,222334,=,1,1,=,,IC50,nM,,2.6,CHEMBL4393,Homo sapiens,Macrophage metalloelastase,9606,,,IC50,nM,UO_0000065,,2.6
,,1071562,[],CHEMBL719132,Inhibition of matrix metalloprotease-12,B,,,BAO_0000190,BAO_0000357,single protein format,CNC(=O)[C@@H](NC(=O)C(CCc1ccccc1)CP(=O)(O)Cc1ccc(Cc2ccccc2)cc1)C(C)(C)C,,,CHEMBL1136104,Bioorg Med Chem Lett,2003,"{'bei': '14.74', 'le': '0.28', 'lle': '2.52', 'sei': '8.47'}",CHEMBL290377,,CHEMBL290377,8.09,0,http://www.openphacts.org/units/Nanomolar,135905,=,1,1,=,,IC50,nM,,8.2,CHEMBL4393,Homo sapiens,Macrophage metalloelastase,9606,,,IC50,nM,UO_0000065,,8.2
,,1075119,[],CHEMBL719132,Inhibition of matrix metalloprotease-12,B,,,BAO_0000190,BAO_0000357,single protein format,CNC(=O)[C@@H](NC(=O)C(CCc1ccc(Cl)cc1)CP(=O)(O)Cc1ccc(Cc2ccccc2)cc1)C(C)(C)C,,,CHEMBL1136104,Bioorg Med Chem Lett,2003,"{'bei': '15.04', 'le': '0.30', 'lle': '2.54', 'sei': '9.18'}",CHEMBL77163,,CHEMBL77163,8.77,0,http://www.openphacts.org/units/Nanomolar,135900,=,1,1,=,,IC50,nM,,1.7,CHEMBL4393,Homo sapiens,Macrophage metalloelastase,9606,,,IC50,nM,UO_0000065,,1.7
,,1079515,[],CHEMBL719133,Inhibition of matrix metalloprotease-12,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(NO)C1(NS(=O)(=O)c2ccc(Oc3ccc(F)cc3)cc2)CCOCC1,,,CHEMBL1147455,Bioorg Med Chem Lett,2004,"{'bei': '23.44', 'le': '0.47', 'lle': '7.67', 'sei': '8.44'}",CHEMBL111856,,CHEMBL111856,9.62,0,http://www.openphacts.org/units/Nanomolar,216023,=,1,1,=,,IC50,nM,,0.24,CHEMBL4393,Homo sapiens,Macrophage metalloelastase,9606,,,IC50,nM,UO_0000065,,0.24
,,1080968,[],CHEMBL719132,Inhibition of matrix metalloprotease-12,B,,,BAO_0000190,BAO_0000357,single protein format,CNC(=O)[C@@H](NC(=O)C(CCc1ccccc1)CP(=O)(O)Cc1ccc(Cc2ccccc2OC)cc1)C(C)(C)C,,,CHEMBL1136104,Bioorg Med Chem Lett,2003,"{'bei': '14.51', 'le': '0.28', 'lle': '2.82', 'sei': '8.02'}",CHEMBL77995,,CHEMBL77995,8.40,0,http://www.openphacts.org/units/Nanomolar,135892,=,1,1,=,,IC50,nM,,4.0,CHEMBL4393,Homo sapiens,Macrophage metalloelastase,9606,,,IC50,nM,UO_0000065,,4.0
,,1085405,[],CHEMBL719132,Inhibition of matrix metalloprotease-12,B,,,BAO_0000190,BAO_0000357,single protein format,CNC(=O)[C@@H](NC(=O)C(CCc1ccccc1)CP(=O)(O)Cc1ccccc1)C(C)(C)C,,,CHEMBL1136104,Bioorg Med Chem Lett,2003,"{'bei': '15.33', 'le': '0.30', 'lle': '3.05', 'sei': '7.36'}",CHEMBL78233,,CHEMBL78233,7.03,0,http://www.openphacts.org/units/Nanomolar,135884,=,1,1,=,,IC50,nM,,93.0,CHEMBL4393,Homo sapiens,Macrophage metalloelastase,9606,,,IC50,nM,UO_0000065,,93.0
,,1094331,[],CHEMBL719132,Inhibition of matrix metalloprotease-12,B,,,BAO_0000190,BAO_0000357,single protein format,CNC(=O)[C@@H](NC(=O)C(CCc1ccc(Cl)cc1)CP(=O)(O)Cc1ccc(Cc2ccccc2OC)cc1)C(C)(C)C,,,CHEMBL1136104,Bioorg Med Chem Lett,2003,"{'bei': '13.54', 'le': '0.27', 'lle': '2.06', 'sei': '7.93'}",CHEMBL308277,,CHEMBL308277,8.30,0,http://www.openphacts.org/units/Nanomolar,135885,=,1,1,=,,IC50,nM,,5.0,CHEMBL4393,Homo sapiens,Macrophage metalloelastase,9606,,,IC50,nM,UO_0000065,,5.0
,,1164756,[],CHEMBL716817,"Inhibition of human macrophage elastase, matrix metalloprotease-12 (MMP-12).",B,,,BAO_0000190,BAO_0000357,single protein format,O=C(CN1Cc2c(Cl)cccc2NC1=O)NO,,,CHEMBL1134493,J Med Chem,2001,,CHEMBL298647,,CHEMBL298647,,0,http://www.openphacts.org/units/Nanomolar,91418,>,1,1,>,,IC50,nM,,100000.0,CHEMBL4393,Homo sapiens,Macrophage metalloelastase,9606,,,IC50,uM,UO_0000065,,100.0
,,1170020,[],CHEMBL716817,"Inhibition of human macrophage elastase, matrix metalloprotease-12 (MMP-12).",B,,,BAO_0000190,BAO_0000357,single protein format,O=C(CN1Cc2c(Cl)cccc2NS1(=O)=O)NO,,,CHEMBL1134493,J Med Chem,2001,,CHEMBL299946,,CHEMBL299946,,0,http://www.openphacts.org/units/Nanomolar,91408,>,1,1,>,,IC50,nM,,100000.0,CHEMBL4393,Homo sapiens,Macrophage metalloelastase,9606,,,IC50,uM,UO_0000065,,100.0
,,1420422,[],CHEMBL832749,Inhibition of Matrix metalloprotease-12,B,,,BAO_0000190,BAO_0000357,single protein format,CC1CCC(OC(=O)NC(=O)c2cc(-c3ccc(OC(F)(F)F)cc3)cs2)CC1,,,CHEMBL1142786,Bioorg Med Chem Lett,2005,"{'bei': '14.97', 'le': '0.30', 'lle': '0.64', 'sei': '9.90'}",CHEMBL181817,,CHEMBL181817,6.40,0,http://www.openphacts.org/units/Nanomolar,365265,=,1,1,=,,IC50,nM,,400.0,CHEMBL4393,Homo sapiens,Macrophage metalloelastase,9606,,,IC50,uM,UO_0000065,,0.4
